,code,17PriceX,16PriceX
943,000949,0.5,3.49
944,000951,0.59,1.91
945,000952,0.46,2.41
946,000955,1.44,2.81
947,000957,3.34,11.04
948,000958,0.94,4.73
949,000959,0.75,2.67
950,000960,0.33,1.58
951,000963,9.64,12.93
952,000965,0.87,2.26
953,000966,1.03,5.16
954,000967,3.11,7.48
955,000968,0.66,1.15
956,000969,1.01,1.91
957,000970,2.29,10.87
958,000973,1.47,4.2
959,000976,1.03,4.17
960,000977,4.87,5.85
961,000978,0.48,2.68
962,000980,1.36,3.57
963,000983,0.48,1.07
964,000985,1.59,5.12
965,000988,3.32,6.2
966,000989,2.68,5.19
967,000990,1.22,2.82
968,000993,0.87,4.04
969,000996,1.97,1.59
970,000997,2.32,12.59
971,000998,10.66,5.41
972,000999,1.71,2.04
973,001696,0.69,4.35
974,001896,0.71,3.14
975,002001,5.24,3.47
976,002006,1.96,6.42
977,002007,2.6,4.67
978,002008,4.65,9.19
979,002009,0.8,2.06
980,002010,1.83,11.7
981,002011,1.3,3.38
982,002013,6.25,18.52
983,002014,2.39,16.08
984,002015,1.53,3.1
985,002016,1.82,4.41
986,002017,1.54,4.98
987,002018,1.68,5.12
988,002019,1.38,4.69
989,002020,3.79,11.58
990,002021,0.64,5.49
991,002022,1.06,1.66
992,002023,3.49,11.48
993,002026,1.63,5.12
994,002027,6.11,11.08
995,002028,1.32,1.44
996,002029,1.16,2.6
997,002030,5.33,12.27
998,002031,1.09,5.36
999,002032,3.75,6.24
1000,002035,16.72,29.98
1001,002036,1.45,4.99
1002,002038,3.17,2.25
1003,002039,1.7,2.61
1004,002041,6.29,7.0
1005,002043,5.44,11.76
1006,002044,11.26,16.72
1007,002046,1.43,2.68
1008,002047,1.62,5.16
1009,002048,1.76,8.01
1010,002049,10.73,17.51
1011,002050,4.11,7.55
1012,002051,4.07,22.14
1013,002052,0.74,3.07
1014,002053,1.06,4.17
1015,002054,1.93,5.55
1016,002055,3.74,15.95
1017,002056,2.51,5.05
1018,002057,1.91,7.0
1019,002058,3.58,8.88
1020,002059,1.42,5.19
1021,002060,1.3,2.27
1022,002061,1.46,3.78
1023,002062,1.65,3.43
1024,002063,3.19,6.37
